"Item.Number","Item.Description"
28866,"Tanqueray Gin"
36971,"New Amsterdam Vodka"
31990,"River Rose Gin"
85606,"Paramount Blue Curacao"
4959,"Glen Moray"
37888,"Seagrams Vodka"
80574,"Arrow Peppermint Schnapps"
23277,"Calvert Extra Bl Whiskey"
18604,"High West American Prairie Bourbon"
38006,"Smirnoff Vodka Traveller"
11299,"Crown Royal"
69656,"Dr. Mcgillicuddy's Mentholmint"
43126,"Bacardi Superior Rum"
34267,"Grey Goose Le Citron"
25877,"Sunny Brook Blend Whiskey"
36903,"Mccormick Vodka"
43322,"Captain Morgan 1671"
43205,"Bacardi Oakheart"
81966,"Arrow Mcdale's Butterscotch Schnapps"
69631,"Dr. Mcgillicuddy's Cherry Mini"
87485,"Don Julio Blanco Tequila"
28867,"Tanqueray Gin"
10812,"Crown Royal 75th Anniversary"
64866,"Fireball Cinnamon Whiskey"
24454,"Kessler Blend Whiskey"
77683,"Smirnoff Kissed Caramel"
80458,"Ryan's Cream Liqueur"
76487,"Paramount Amaretto"
64676,"Chambord Liqueur Royale De France"
84486,"Paramount Butterscotch Schnapps"
36188,"Gordon's Vodka 80 Prf - Pet"
83370,"Ice Hole Mint Schnapps"
37204,"Outerspace Vodka"
43362,"Captain Morgan Cannon Blast"
22786,"Beam's 8 Star Bl Whiskey"
64864,"Fireball Cinnamon Whisky"
4866,"Dewars White Label Scotch"
19064,"Jim Beam"
36304,"Hawkeye Vodka"
48154,"Hennessy Black"
57174,"Chi-Chi's Skinny Margarita"
11777,"Black Velvet"
84617,"Phillips Root Beer Schnapps"
87408,"Jose Cuervo Especial Silver"
23824,"Five Star"
77875,"Smirnoff Sours Green Apple"
67006,"Midori Melon Liqueur"
35416,"Burnett's Vodka 80 Prf"
43124,"Bacardi Superior Rum"
42712,"Malibu Coconut Rum Mini"
28086,"Beefeater Gin"
65251,"Jagermeister Liqueur Mini"
73526,"Dekuyper Melon Liqueur"
69609,"Dr. McGillicuddy's Apple Pie Mini"
31472,"New Amsterdam Gin"
86250,"Juarez Triple Sec"
86888,"Southern Comfort PET"
27025,"Bulleit 95 Rye"
43121,"Bacardi Superior Rum Mini"
52595,"E & J Vs Brandy Travelers"
37336,"Uv Vodka"
69667,"Dr. Mcgillicuddy's Vanilla"
86670,"Jack Daniel's Tennessee Honey"
76478,"Pama Pomegranate Liqueur"
41783,"Uv Blue Raspberry Vodka Mini"
42666,"Mt. Gay Eclipse Rum"
27102,"Templeton Rye"
82857,"Dekuyper Island Punch Pucker"
35213,"Sobieski Vodka"
65191,"Hpnotiq Mini"
34197,"Ciroc Luxury Vodka"
31658,"Paramount Gin"
55087,"Paramount Blackberry Brandy"
64868,"Fireball Cinnamon Whiskey"
77284,"Rocket Fuel"
23823,"Five Star"
41989,"Uv Cake Vodka"
472,"Jack Daniels Tennessee Honey w/Glass"
54444,"Paramount Apricot Flavored Brandy"
10828,"Crown Royal Northern Harvest Rye"
68039,"Bailey's Original Irish Cream"
41209,"Firefly Sweet Tea Vodka"
37356,"Phillips Vodka Ez Pack"
42687,"Malibu Black"
43125,"Bacardi Superior Rum Pet"
66636,"Romana Sambuca Italian Liquore"
29996,"Five O'clock Gin"
8826,"Lauder's Scotch"
48101,"Hennessy Vs Cognac Minis"
27697,"Bird Dog Apple Flavored Whiskey"
59154,"1800 Ultimate Margarita"
27783,"Jim Beam Apple"
27100,"Sazerac Rye"
28625,"Hendrick's Gin"
81208,"Paramount Peppermint Schnapps"
52598,"E & J Vs"
45887,"Sailor Jerry Spiced Navy Rum"
73715,"Evan Williams Cherry Reserve"
35318,"Barton Vodka"
52579,"E & J Vsop Superior Reserve Mini"
27636,"Stone Fence Apple Cider Whiskey"
789,"Canadian Club w/Glass"
38056,"Swell Vodka"
34579,"Pinnacle Vodka"
88183,"Olmeca Altos Plata Mini"
77735,"Viniq"
64736,"Citronge"
22155,"Wild Turkey 101 Round"
88036,"Margaritaville Silver Tequila"
40594,"New Amsterdam Peach"
361,"Bailey's Original Irish Cream w/4 Shot Glasses"
36978,"Nikolai Vodka"
88116,"Milagro Silver Tequila"
64000,"Absente"
18198,"Ezra Brooks Ky Sour Mash Bourbon"
41940,"360 Madagascar Vanilla Vodka"
30316,"Gordon's Gin London Dry"
57129,"Chi-Chi's Mexican Mudslide"
64601,"Caravella Limoncello"
74782,"Jack Daniels Winter Jack"
69940,"Rumple Minze Peppermint Mini"
82187,"Arrow Spearmint Schnapps"
27056,"Jim Beam Rye"
88556,"Sauza Blanco Silver"
25603,"Seagrams 7 Crown Bl Whiskey"
5290,"J & B Rare Scotch"
24458,"Kessler Blend Whiskey"
77637,"Smirnoff Cherry"
62400,"Margaritaville Classic Lime Margarita"
10624,"Canadian Club Whisky"
65066,"Goldschlager Cinnamon Schnapps"
56805,"Paul Masson Red Berry Grande Amber Brandy"
80577,"Arrow Peppermint Schnapps"
45248,"Paramount Gold Rum"
12408,"Canadian Ltd Whisky"
35418,"Burnett's Vodka 80 Prf"
66293,"Remy Martin V"
10549,"Black Velvet Toasted Caramel Mini"
50686,"St. Remy Vsop Napoleon Brandy"
20246,"Old Crow"
34030,"Absolut Citron (lemon Vodka)"
43022,"Admiral Nelson Spiced Rum Mini"
36344,"La Collection Tiger"
75209,"Kinky Liqueur"
86390,"Montezuma Triple Sec"
64716,"Ciroc Peach"
18352,"Four Roses Yellow Label"
52312,"Christian Bros Brandy"
89837,"Hornitos Gold"
